"codigo_ine","municipio","provincia","departamento","superficie","poblacion","densidad","municipio_alt"
"010101","Sucre","Oropeza","Chuquisaca",1820,296125,162.71,NA
"010102","Yotala","Oropeza","Chuquisaca",452.9,9241,20.4,NA
"010103","Poroma","Oropeza","Chuquisaca",1395,13640,9.78,NA
"010201","Azurduy","Azurduy","Chuquisaca",1700,7861,4.62,NA
"010202","Tarvita","Azurduy","Chuquisaca",1334,16470,12.35,NA
"010301","Villa Zudáñez","Zudáñez","Chuquisaca",701.1,12687,18.1,NA
"010302","Presto","Zudáñez","Chuquisaca",1329,12023,9.05,NA
"010303","Villa Mojocoya","Zudáñez","Chuquisaca",1247,8971,7.19,NA
"010304","Icla","Zudáñez","Chuquisaca",846.3,8854,10.46,NA
"010401","Padilla","Tomina","Chuquisaca",1620,7542,4.66,NA
"010402","Tomina","Tomina","Chuquisaca",826.9,8341,10.09,NA
"010403","Sopachuy","Tomina","Chuquisaca",620.4,6886,11.1,NA
"010404","Villa Alcalá","Tomina","Chuquisaca",312.8,3752,11.99,NA
"010405","El Villar","Tomina","Chuquisaca",895.5,5636,6.29,NA
"010501","Monteagudo","Hernando Siles","Chuquisaca",3387,24487,7.23,NA
"010502","Huacareta","Hernando Siles","Chuquisaca",2962,7201,2.43,NA
"010601","Tarabuco","Yamparáez","Chuquisaca",1029,13251,12.88,NA
"010602","Yamparáez","Yamparáez","Chuquisaca",598.8,8537,14.26,NA
"010701","Camargo","Nor Cinti","Chuquisaca",1990,14712,7.39,NA
"010702","San Lucas","Nor Cinti","Chuquisaca",3872,26486,6.84,NA
"010703","Incahuasi","Nor Cinti","Chuquisaca",870,16311,18.75,NA
"010704","Villa Charcas","Nor Cinti","Chuquisaca",1000,13924,13.92,NA
"010801","Villa Serrano","Belisario Boeto","Chuquisaca",1713,8961,5.23,NA
"010901","Villa Abecia","Sud Cinti","Chuquisaca",707.3,5371,7.59,NA
"010902","Culpina","Sud Cinti","Chuquisaca",3910,14868,3.8,NA
"010903","Las Carreras","Sud Cinti","Chuquisaca",994.6,5007,5.03,NA
"011001","Villa Vaca Guzmán","Luis Calvo","Chuquisaca",3793,13196,3.48,"Muyupampa"
"011002","Huacaya","Luis Calvo","Chuquisaca",1186,2546,2.15,NA
"011003","Macharetí","Luis Calvo","Chuquisaca",7880,7245,0.92,NA
"020101","La Paz","Murillo","La Paz",2001,755732,377.68,NA
"020102","Palca","Murillo","La Paz",743.7,21641,29.1,NA
"020103","Mecapaca","Murillo","La Paz",533.1,20455,38.37,NA
"020104","Achocalla","Murillo","La Paz",196.2,46068,234.8,NA
"020105","El Alto","Murillo","La Paz",351.3,885035,2519.31,NA
"020201","Achacachi","Omasuyos","La Paz",700,47064,67.23,NA
"020202","Ancoraimes","Omasuyos","La Paz",329.5,16900,51.29,NA
"020203","Chua Cocani","Omasuyos","La Paz",17.5,8657,494.69,NA
"020204","Huarina","Omasuyos","La Paz",205,9258,45.16,NA
"020205","Santiago de Huata","Omasuyos","La Paz",125,5096,40.77,NA
"020206","Huatajata","Omasuyos","La Paz",31,7183,231.71,NA
"020301","Coro Coro","Pacajes","La Paz",1145,13395,11.7,NA
"020302","Caquiaviri","Pacajes","La Paz",1586,15464,9.75,NA
"020303","Calacoto","Pacajes","La Paz",3958,12057,3.05,NA
"020304","Comanche","Pacajes","La Paz",436.9,5201,11.9,NA
"020305","Charaña","Pacajes","La Paz",2925,4124,1.41,NA
"020306","Waldo Ballivián","Pacajes","La Paz",123.5,6557,53.09,NA
"020307","Nazacara de Pacajes","Pacajes","La Paz",19.2,3990,207.81,NA
"020308","Callapa","Pacajes","La Paz",1236,7965,6.44,NA
"020401","Puerto Acosta","Camacho","La Paz",260,13940,53.62,NA
"020402","Mocomoco","Camacho","La Paz",531.6,17653,33.21,NA
"020403","Puerto Carabuco","Camacho","La Paz",415,17248,41.56,NA
"020404","Humanata","Camacho","La Paz",450,5615,12.48,NA
"020405","Escoma","Camacho","La Paz",130,8810,67.77,NA
"020501","Chuma","Muñecas","La Paz",599.8,17671,29.46,NA
"020502","Ayata","Muñecas","La Paz",671.4,8957,13.34,NA
"020503","Aucapata","Muñecas","La Paz",243.1,6720,27.64,NA
"020601","Sorata","Larecaja","La Paz",2087,30020,14.38,NA
"020602","Guanay","Larecaja","La Paz",3965,16373,4.13,NA
"020603","Tacacoma","Larecaja","La Paz",826.9,9705,11.74,NA
"020604","Quiabaya","Larecaja","La Paz",133.6,4221,31.59,NA
"020605","Combaya","Larecaja","La Paz",99.5,3502,35.2,NA
"020606","Tipuani","Larecaja","La Paz",300.9,7640,25.39,NA
"020607","Mapiri","Larecaja","La Paz",1381,21805,15.79,NA
"020608","Teoponte","Larecaja","La Paz",1599,13469,8.42,NA
"020701","Apolo","Franz Tamayo","La Paz",13970,19047,1.36,NA
"020702","Pelechuco","Franz Tamayo","La Paz",2549,8993,3.53,NA
"020801","Viacha","Ingavi","La Paz",857.3,113453,132.34,NA
"020802","Guaqui","Ingavi","La Paz",191.6,8599,44.88,NA
"020803","Tiahuanaco","Ingavi","La Paz",352.2,13568,38.52,NA
"020804","Desaguadero","Ingavi","La Paz",91.3,7867,86.17,NA
"020805","San Andrés de Machaca","Ingavi","La Paz",1528,7832,5.13,NA
"020806","Jesús de Machaca","Ingavi","La Paz",970,16957,17.48,NA
"020807","Taraco","Ingavi","La Paz",110.2,7511,68.16,NA
"020901","Luribay","Loayza","La Paz",509,10581,20.79,NA
"020902","Sapahaqui","Loayza","La Paz",846.8,16420,19.39,NA
"020903","Yaco","Loayza","La Paz",599.1,12303,20.54,NA
"020904","Malla","Loayza","La Paz",329.7,4866,14.76,NA
"020905","Cairoma","Loayza","La Paz",543.8,13657,25.11,NA
"021001","Inquisivi","Inquisivi","La Paz",3277,18764,5.73,NA
"021002","Quime","Inquisivi","La Paz",878.5,11184,12.73,NA
"021003","Cajuata","Inquisivi","La Paz",971.1,15485,15.95,NA
"021004","Colquiri","Inquisivi","La Paz",1060,23456,22.13,NA
"021005","Ichoca","Inquisivi","La Paz",852,9536,11.19,NA
"021006","Licoma Pampa","Inquisivi","La Paz",150.1,7791,51.91,NA
